Date;Data
1993;61.2
1994;61.4
1995;61.7
1996;63.4
1997;65.3
1998;66.5
1999;66.7
2000;65.9
2001;66.2
2002;66.9
2003;67.3
2004;68.1
2005;67.8
2006;68.7
2007;69.2
2008;69.7
2009;70.2
2010;70.3
2011;70.9
2012;71.8
2013;72.2
2014;72.3
2015;72.6
2016;73.5
2017;73.87
2018;74.28
2019;75.04
2020;72.9
2021;72.01
